,poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,endorsed_candidate_id,endorsed_candidate_name,endorsed_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,ranked_choice_reallocated,ranked_choice_round,party,answer,candidate_id,candidate_name,pct
0,86615,1189,Morning Consult,,,Morning Consult,218,Morning Consult,1.8,-0.2,Online Panel,3.0,,4/5/24,4/7/24,,,,,,,196278,6236.0,rv,,rv,True,4/9/24 14:23,,https://pro.morningconsult.com/trackers/2024-presidential-election-polling,,,,8914,2024,U.S. President,0,,11/5/24,general,False,False,,DEM,Biden,19368,Joe Biden,43.0
1,86615,1189,Morning Consult,,,Morning Consult,218,Morning Consult,1.8,-0.2,Online Panel,3.0,,4/5/24,4/7/24,,,,,,,196278,6236.0,rv,,rv,True,4/9/24 14:23,,https://pro.morningconsult.com/trackers/2024-presidential-election-polling,,,,8914,2024,U.S. President,0,,11/5/24,general,False,False,,REP,Trump,16651,Donald Trump,44.0
2,86616,1189,Morning Consult,,,Morning Consult,218,Morning Consult,1.8,-0.2,Online Panel,3.0,,4/4/24,4/6/24,,,,,,,196279,4000.0,rv,,rv,True,4/9/24 14:23,,https://pro.morningconsult.com/trackers/2024-presidential-election-polling,,,,8914,2024,U.S. President,0,,11/5/24,general,False,False,,DEM,Biden,19368,Joe Biden,43.0
3,86616,1189,Morning Consult,,,Morning Consult,218,Morning Consult,1.8,-0.2,Online Panel,3.0,,4/4/24,4/6/24,,,,,,,196279,4000.0,rv,,rv,True,4/9/24 14:23,,https://pro.morningconsult.com/trackers/2024-presidential-election-polling,,,,8914,2024,U.S. President,0,,11/5/24,general,False,False,,REP,Trump,16651,Donald Trump,44.0
4,86612,770,TIPP,1742,Issues & Insights,TIPP Insights,144,TIPP Insights,1.8,-0.4,Online Panel,3.0,,4/3/24,4/5/24,,,,,,,196267,1265.0,rv,,rv,,4/8/24 10:28,,https://issuesinsights.com/2024/04/08/independents-third-party-candidates-loom-as-election-deciders-in-2024-ii-tipp-poll/,,,,8914,2024,U.S. President,0,,11/5/24,general,False,False,,DEM,Biden,19368,Joe Biden,43.0
5,86612,770,TIPP,1742,Issues & Insights,TIPP Insights,144,TIPP Insights,1.8,-0.4,Online Panel,3.0,,4/3/24,4/5/24,,,,,,,196267,1265.0,rv,,rv,,4/8/24 10:28,,https://issuesinsights.com/2024/04/08/independents-third-party-candidates-loom-as-election-deciders-in-2024-ii-tipp-poll/,,,,8914,2024,U.S. President,0,,11/5/24,general,False,False,,REP,Trump,16651,Donald Trump,40.0
6,86612,770,TIPP,1742,Issues & Insights,TIPP Insights,144,TIPP Insights,1.8,-0.4,Online Panel,3.0,,4/3/24,4/5/24,,,,,,,196268,1265.0,rv,,rv,,4/8/24 10:28,,https://issuesinsights.com/2024/04/08/independents-third-party-candidates-loom-as-election-deciders-in-2024-ii-tipp-poll/,,,,8914,2024,U.S. President,0,,11/5/24,general,False,False,,DEM,Biden,19368,Joe Biden,38.0
7,86612,770,TIPP,1742,Issues & Insights,TIPP Insights,144,TIPP Insights,1.8,-0.4,Online Panel,3.0,,4/3/24,4/5/24,,,,,,,196268,1265.0,rv,,rv,,4/8/24 10:28,,https://issuesinsights.com/2024/04/08/independents-third-party-candidates-loom-as-election-deciders-in-2024-ii-tipp-poll/,,,,8914,2024,U.S. President,0,,11/5/24,general,False,False,,REP,Trump,16651,Donald Trump,38.0
8,86612,770,TIPP,1742,Issues & Insights,TIPP Insights,144,TIPP Insights,1.8,-0.4,Online Panel,3.0,,4/3/24,4/5/24,,,,,,,196268,1265.0,rv,,rv,,4/8/24 10:28,,https://issuesinsights.com/2024/04/08/independents-third-party-candidates-loom-as-election-deciders-in-2024-ii-tipp-poll/,,,,8914,2024,U.S. President,0,,11/5/24,general,False,False,,IND,Kennedy,31042,Robert F. Kennedy,11.0
9,86612,770,TIPP,1742,Issues & Insights,TIPP Insights,144,TIPP Insights,1.8,-0.4,Online Panel,3.0,,4/3/24,4/5/24,,,,,,,196268,1265.0,rv,,rv,,4/8/24 10:28,,https://issuesinsights.com/2024/04/08/independents-third-party-candidates-loom-as-election-deciders-in-2024-ii-tipp-poll/,,,,8914,2024,U.S. President,0,,11/5/24,general,False,False,,IND,West,31097,Cornel West,2.0
10,86612,770,TIPP,1742,Issues & Insights,TIPP Insights,144,TIPP Insights,1.8,-0.4,Online Panel,3.0,,4/3/24,4/5/24,,,,,,,196268,1265.0,rv,,rv,,4/8/24 10:28,,https://issuesinsights.com/2024/04/08/independents-third-party-candidates-loom-as-election-deciders-in-2024-ii-tipp-poll/,,,,8914,2024,U.S. President,0,,11/5/24,general,False,False,,GRE,Stein,31116,Jill Stein,1.0
