,poll_id,pollster,end_date,candidate_id,candidate_name,pct
0,86634,Emerson,4/10/24,19368,Joe Biden,43.6
1,86634,Emerson,4/10/24,16651,Donald Trump,56.4
2,86634,Emerson,4/10/24,19368,Joe Biden,34.6
3,86634,Emerson,4/10/24,16651,Donald Trump,49.2
4,86634,Emerson,4/10/24,31042,Robert F. Kennedy,6.1
5,86634,Emerson,4/10/24,31097,Cornel West,0.5
6,86634,Emerson,4/10/24,31116,Jill Stein,1.1
7,86637,ActiVote,4/10/24,19368,Joe Biden,47.1
8,86637,ActiVote,4/10/24,16651,Donald Trump,52.9
9,86637,ActiVote,4/10/24,19368,Joe Biden,40.7
10,86637,ActiVote,4/10/24,16651,Donald Trump,44.0
11,86637,ActiVote,4/10/24,31042,Robert F. Kennedy,15.3
12,86631,YouGov,4/9/24,19368,Joe Biden,42.0
13,86631,YouGov,4/9/24,16651,Donald Trump,43.0
14,86631,YouGov,4/9/24,31042,Robert F. Kennedy,3.0
15,86631,YouGov,4/9/24,31097,Cornel West,1.0
16,86631,YouGov,4/9/24,31116,Jill Stein,0.0
17,86641,Cygnal,4/8/24,19368,Joe Biden,39.0
18,86641,Cygnal,4/8/24,16651,Donald Trump,43.3
19,86641,Cygnal,4/8/24,31042,Robert F. Kennedy,7.3
20,86626,Ipsos,4/8/24,19368,Joe Biden,41.0
21,86626,Ipsos,4/8/24,16651,Donald Trump,37.0
22,86626,Ipsos,4/8/24,19368,Joe Biden,37.0
23,86626,Ipsos,4/8/24,16651,Donald Trump,36.0
24,86632,Quinnipiac,4/8/24,19368,Joe Biden,46.0
25,86632,Quinnipiac,4/8/24,16651,Donald Trump,48.0
26,86632,Quinnipiac,4/8/24,19368,Joe Biden,38.0
27,86632,Quinnipiac,4/8/24,16651,Donald Trump,41.0
28,86632,Quinnipiac,4/8/24,31042,Robert F. Kennedy,12.0
29,86632,Quinnipiac,4/8/24,31097,Cornel West,3.0
30,86632,Quinnipiac,4/8/24,31116,Jill Stein,3.0
31,86615,Morning Consult,4/7/24,19368,Joe Biden,43.0
32,86615,Morning Consult,4/7/24,16651,Donald Trump,44.0
33,86625,SurveyUSA,4/7/24,19368,Joe Biden,44.0
34,86625,SurveyUSA,4/7/24,16651,Donald Trump,42.0
35,86616,Morning Consult,4/6/24,19368,Joe Biden,43.0
36,86616,Morning Consult,4/6/24,16651,Donald Trump,44.0
37,86643,Cygnal,4/6/24,19368,Joe Biden,36.6
38,86643,Cygnal,4/6/24,16651,Donald Trump,45.8
39,86643,Cygnal,4/6/24,31042,Robert F. Kennedy,7.6
40,86643,Cygnal,4/6/24,31116,Jill Stein,1.7
41,86643,Cygnal,4/6/24,31097,Cornel West,1.0
42,86643,Cygnal,4/6/24,19368,Joe Biden,42.2
43,86643,Cygnal,4/6/24,16651,Donald Trump,50.7
44,86612,TIPP,4/5/24,19368,Joe Biden,43.0
45,86612,TIPP,4/5/24,16651,Donald Trump,40.0
46,86612,TIPP,4/5/24,19368,Joe Biden,38.0
47,86612,TIPP,4/5/24,16651,Donald Trump,38.0
48,86612,TIPP,4/5/24,31042,Robert F. Kennedy,11.0
